Row	Experiment	301840491	30184049	3018405	301840	30184	3018	1509	754	377	189	94	47
Row1	a	NA	1.61E+07	NA	5.71E+04	NA	-1.52E+02	NA	-2.66E+02	NA	-3.66E+02	NA	1.76E+02
Row2	a	6.47E+08	NA	8.04E+05	NA	6.19E+03	NA	3.43E+02	NA	-4.01E+01	NA	-1.03E+03	NA
Row3	a	NA	1.95E+07	NA	5.75E+04	NA	1.57E+03	NA	-4.25E+02	NA	6.33E+02	NA	-7.97E+02
Row4	a	6.71E+08	NA	1.05E+06	NA	6.97E+03	NA	2.28E+02	NA	-2.97E+02	NA	-3.54E+02	NA
Row5	a	NA	1.85E+07	NA	5.65E+04	NA	1.24E+03	NA	1.41E+03	NA	-8.56E+02	NA	3.70E+02
Row6	a	6.57E+08	NA	8.11E+05	NA	5.74E+03	NA	2.83E+02	NA	6.98E+03	NA	-7.58E+02	NA
Row7	a	NA	2.31E+07	NA	9.34E+04	NA	1.44E+03	NA	6.88E+02	NA	-3.99E+02	NA	1.36E+03
Row8	a	6.55E+08	NA	7.76E+05	NA	8.13E+03	NA	-1.02E+03	NA	-1.16E+03	NA	-2.05E+02	NA
Row1	b	8.39E+08	NA	7.58E+05	NA	4.21E+03	NA	9.20E+02	NA	1.82E+03	NA	3.89E+02	NA
Row2	b	NA	3.53E+07	NA	4.10E+04	NA	9.63E+02	NA	5.67E+02	NA	9.46E+02	NA	4.80E+02
Row3	b	8.60E+08	NA	6.80E+05	NA	3.42E+03	NA	1.03E+03	NA	9.45E+02	NA	3.56E+02	NA
Row4	b	NA	2.63E+07	NA	4.03E+04	NA	1.10E+03	NA	9.15E+02	NA	7.42E+02	NA	5.65E+02
Row5	b	8.56E+08	NA	7.62E+05	NA	3.45E+03	NA	9.69E+02	NA	8.32E+02	NA	1.32E+03	NA
Row6	b	NA	2.65E+07	NA	4.05E+04	NA	8.69E+02	NA	1.13E+03	NA	5.79E+02	NA	2.83E+02
Row7	b	8.37E+08	NA	7.48E+05	NA	4.43E+03	NA	7.10E+02	NA	5.36E+02	NA	-8.00E+01	NA
Row8	b	NA	2.85E+07	NA	4.16E+04	NA	5.75E+02	NA	-1.04E+02	NA	6.28E+01	NA	5.72E+02
