Well	Number	Plate	OD	Sex	pred_conc	Fly 	DF	A	B	C
B	1	1	0.006	m	684.17	1	1	11	17	12
B	1	1	0.006	m	684.17	1	2	10	8	9
B	1	1	0.006	m	684.17	1	4	0	4	2
B	1	1	0.006	m	684.17	1	8	0	3	0
B	1	1	0.006	m	684.17	1	16	0	0	2
B	2	1	0.006	m	684.17	2	1	16	12	15
B	2	1	0.006	m	684.17	2	2	7	5	5
B	2	1	0.006	m	684.17	2	4	5	5	3
B	2	1	0.006	m	684.17	2	8	1	0	4
B	2	1	0.006	m	684.17	2	16	0	1	0
B	3	1	0.006	m	684.17	3	1	9	8	10
B	3	1	0.006	m	684.17	3	2	4	2	3
B	3	1	0.006	m	684.17	3	4	0	0	4
B	3	1	0.006	m	684.17	3	8	1	0	0
B	3	1	0.006	m	684.17	3	16	1	0	1
B	4	1	0.006	m	684.17	4	1	2	6	6
B	4	1	0.006	m	684.17	4	2	0	2	2
B	4	1	0.006	m	684.17	4	4	1	2	0
B	4	1	0.006	m	684.17	4	8	1	1	0
B	4	1	0.006	m	684.17	4	16	0	0	0
B	5	1	0.006	m	684.17	5	1	10	9	11
B	5	1	0.006	m	684.17	5	2	7	3	4
B	5	1	0.006	m	684.17	5	4	4	0	5
B	5	1	0.006	m	684.17	5	8	1	1	1
B	5	1	0.006	m	684.17	5	16	0	0	0
B	6	1	0.006	m	684.17	6	1	15	5	6
B	6	1	0.006	m	684.17	6	2	1	4	9
B	6	1	0.006	m	684.17	6	4	2	4	3
B	6	1	0.006	m	684.17	6	8	2	1	2
B	6	1	0.006	m	684.17	6	16	0	0	1
B	7	1	0.006	m	684.17	7	1	5	10	7
B	7	1	0.006	m	684.17	7	2	4	6	6
B	7	1	0.006	m	684.17	7	4	3	0	0
B	7	1	0.006	m	684.17	7	8	0	1	0
B	7	1	0.006	m	684.17	7	16	0	1	0
B	8	1	0.006	m	684.17	8	1	10	7	12
B	8	1	0.006	m	684.17	8	2	5	1	8
B	8	1	0.006	m	684.17	8	4	3	4	0
B	8	1	0.006	m	684.17	8	8	2	2	0
B	8	1	0.006	m	684.17	8	16	1	1	0
B	9	1	0.006	m	684.17	9	1	14	15	8
B	9	1	0.006	m	684.17	9	2	5	4	13
B	9	1	0.006	m	684.17	9	4	2	1	4
B	9	1	0.006	m	684.17	9	8	1	0	2
B	9	1	0.006	m	684.17	9	16	0	1	0
B	10	1	0.006	m	684.17	10	1	8	16	5
B	10	1	0.006	m	684.17	10	2	4	5	3
B	10	1	0.006	m	684.17	10	4	1	1	0
B	10	1	0.006	m	684.17	10	8	1	2	0
B	10	1	0.006	m	684.17	10	16	2	0	0
B	11	1	0.006	m	684.17	11	1	11	8	2
B	11	1	0.006	m	684.17	11	2	3	5	5
B	11	1	0.006	m	684.17	11	4	3	2	1
B	11	1	0.006	m	684.17	11	8	0	1	1
B	11	1	0.006	m	684.17	11	16	1	0	0
B	12	1	0.006	m	684.17	12	1	12	18	14
B	12	1	0.006	m	684.17	12	2	7	8	6
B	12	1	0.006	m	684.17	12	4	3	4	6
B	12	1	0.006	m	684.17	12	8	3	3	6
B	12	1	0.006	m	684.17	12	16	0	1	0
G	1	1	0.006	f	684.17	13	1	5	10	5
G	1	1	0.006	f	684.17	13	2	2	3	1
G	1	1	0.006	f	684.17	13	4	1	1	3
G	1	1	0.006	f	684.17	13	8	0	2	0
G	1	1	0.006	f	684.17	13	16	1	0	0
G	2	1	0.006	f	684.17	14	1	11	8	17
G	2	1	0.006	f	684.17	14	2	5	2	5
G	2	1	0.006	f	684.17	14	4	3	0	3
G	2	1	0.006	f	684.17	14	8	1	0	3
G	2	1	0.006	f	684.17	14	16	0	0	1
G	3	1	0.006	f	684.17	15	1	4	3	3
G	3	1	0.006	f	684.17	15	2	1	1	0
G	3	1	0.006	f	684.17	15	4	0	0	1
G	3	1	0.006	f	684.17	15	8	1	1	1
G	3	1	0.006	f	684.17	15	16	0	0	0
G	4	1	0.006	f	684.17	16	1	8	9	13
G	4	1	0.006	f	684.17	16	2	7	6	2
G	4	1	0.006	f	684.17	16	4	4	1	1
G	4	1	0.006	f	684.17	16	8	0	0	0
G	4	1	0.006	f	684.17	16	16	0	0	2
G	5	1	0.006	f	684.17	17	1	16	12	10
G	5	1	0.006	f	684.17	17	2	5	3	9
G	5	1	0.006	f	684.17	17	4	3	7	2
G	5	1	0.006	f	684.17	17	8	3	0	1
G	5	1	0.006	f	684.17	17	16	3	2	0
G	6	1	0.006	f	684.17	18	1	15	15	9
G	6	1	0.006	f	684.17	18	2	7	7	5
G	6	1	0.006	f	684.17	18	4	4	5	5
G	6	1	0.006	f	684.17	18	8	1	0	2
G	6	1	0.006	f	684.17	18	16	2	2	1
G	7	1	0.006	f	684.17	19	1	12	11	6
G	7	1	0.006	f	684.17	19	2	10	7	5
G	7	1	0.006	f	684.17	19	4	4	2	1
G	7	1	0.006	f	684.17	19	8	0	0	1
G	7	1	0.006	f	684.17	19	16	0	3	1
G	8	1	0.006	f	684.17	20	1	11	9	13
G	8	1	0.006	f	684.17	20	2	3	5	7
G	8	1	0.006	f	684.17	20	4	5	5	2
G	8	1	0.006	f	684.17	20	8	1	1	1
G	8	1	0.006	f	684.17	20	16	1	0	0
G	9	1	0.006	f	684.17	21	1	1	2	2
G	9	1	0.006	f	684.17	21	2	1	2	2
G	9	1	0.006	f	684.17	21	4	0	0	0
G	9	1	0.006	f	684.17	21	8	0	0	0
G	9	1	0.006	f	684.17	21	16	0	0	0
G	10	1	0.006	f	684.17	22	1	7	11	13
G	10	1	0.006	f	684.17	22	2	7	3	0
G	10	1	0.006	f	684.17	22	4	1	3	3
G	10	1	0.006	f	684.17	22	8	3	1	0
G	10	1	0.006	f	684.17	22	16	2	0	0
G	11	1	0.006	f	684.17	23	1	8	8	9
G	11	1	0.006	f	684.17	23	2	3	6	2
G	11	1	0.006	f	684.17	23	4	0	2	1
G	11	1	0.006	f	684.17	23	8	0	0	3
G	11	1	0.006	f	684.17	23	16	0	0	1
G	12	1	0.006	f	684.17	24	1	18	14	12
G	12	1	0.006	f	684.17	24	2	6	6	2
G	12	1	0.006	f	684.17	24	4	4	3	4
G	12	1	0.006	f	684.17	24	8	0	2	0
G	12	1	0.006	f	684.17	24	16	1	0	0
B	1	2	0.06	m	6841.72	25	1	54	54	53
B	1	2	0.06	m	6841.72	25	2	31	34	23
B	1	2	0.06	m	6841.72	25	4	16	23	19
B	1	2	0.06	m	6841.72	25	8	10	6	9
B	1	2	0.06	m	6841.72	25	16	2	4	2
B	2	2	0.06	m	6841.72	26	1	65	52	59
B	2	2	0.06	m	6841.72	26	2	36	28	45
B	2	2	0.06	m	6841.72	26	4	27	24	25
B	2	2	0.06	m	6841.72	26	8	7	6	11
B	2	2	0.06	m	6841.72	26	16	2	2	2
B	3	2	0.06	m	6841.72	27	1	NA	NA	NA
B	3	2	0.06	m	6841.72	27	2	38	39	45
B	3	2	0.06	m	6841.72	27	4	26	38	14
B	3	2	0.06	m	6841.72	27	8	5	10	13
B	3	2	0.06	m	6841.72	27	16	10	7	5
B	4	2	0.06	m	6841.72	28	1	NA	NA	NA
B	4	2	0.06	m	6841.72	28	2	46	48	46
B	4	2	0.06	m	6841.72	28	4	30	12	24
B	4	2	0.06	m	6841.72	28	8	7	12	9
B	4	2	0.06	m	6841.72	28	16	6	5	10
B	5	2	0.06	m	6841.72	29	1	31	26	38
B	5	2	0.06	m	6841.72	29	2	13	19	21
B	5	2	0.06	m	6841.72	29	4	5	11	9
B	5	2	0.06	m	6841.72	29	8	4	3	2
B	5	2	0.06	m	6841.72	29	16	1	4	4
B	6	2	0.06	m	6841.72	30	1	NA	NA	NA
B	6	2	0.06	m	6841.72	30	2	39	40	33
B	6	2	0.06	m	6841.72	30	4	13	21	16
B	6	2	0.06	m	6841.72	30	8	9	2	10
B	6	2	0.06	m	6841.72	30	16	5	3	1
B	7	2	0.06	m	6841.72	31	1	NA	NA	NA
B	7	2	0.06	m	6841.72	31	2	26	20	26
B	7	2	0.06	m	6841.72	31	4	9	12	7
B	7	2	0.06	m	6841.72	31	8	5	9	11
B	7	2	0.06	m	6841.72	31	16	5	3	10
B	8	2	0.06	m	6841.72	32	1	NA	NA	NA
B	8	2	0.06	m	6841.72	32	2	36	37	38
B	8	2	0.06	m	6841.72	32	4	20	19	18
B	8	2	0.06	m	6841.72	32	8	8	11	3
B	8	2	0.06	m	6841.72	32	16	4	6	5
B	9	2	0.06	m	6841.72	33	1	NA	NA	NA
B	9	2	0.06	m	6841.72	33	2	42	47	46
B	9	2	0.06	m	6841.72	33	4	24	22	21
B	9	2	0.06	m	6841.72	33	8	7	9	11
B	9	2	0.06	m	6841.72	33	16	4	5	4
B	10	2	0.06	m	6841.72	34	1	NA	NA	NA
B	10	2	0.06	m	6841.72	34	2	29	23	21
B	10	2	0.06	m	6841.72	34	4	13	13	7
B	10	2	0.06	m	6841.72	34	8	4	9	2
B	10	2	0.06	m	6841.72	34	16	1	0	1
B	11	2	0.06	m	6841.72	35	1	49	48	45
B	11	2	0.06	m	6841.72	35	2	26	22	16
B	11	2	0.06	m	6841.72	35	4	13	13	7
B	11	2	0.06	m	6841.72	35	8	6	8	3
B	11	2	0.06	m	6841.72	35	16	3	2	2
B	12	2	0.06	m	6841.72	36	1	41	37	22
B	12	2	0.06	m	6841.72	36	2	19	8	12
