Plate	OD	Sex	W_row	W_column	Fly	Flux
1	0.006	m	B	1	1	1.74E+04
1	0.006	m	B	2	2	2.04E+04
1	0.006	m	B	3	3	1.38E+04
1	0.006	m	B	4	4	5.19E+03
1	0.006	m	B	5	5	2.03E+04
1	0.006	m	B	6	6	1.29E+04
1	0.006	m	B	7	7	8.81E+03
1	0.006	m	B	8	8	1.44E+04
1	0.006	m	B	9	9	2.11E+04
1	0.006	m	B	10	10	1.75E+04
1	0.006	m	B	11	11	1.48E+04
1	0.006	m	B	12	12	2.34E+04
1	0.006	f	G	1	13	1.68E+04
1	0.006	f	G	2	14	2.30E+04
1	0.006	f	G	3	15	6.28E+03
1	0.006	f	G	4	16	2.01E+04
1	0.006	f	G	5	17	1.56E+04
1	0.006	f	G	6	18	1.66E+04
1	0.006	f	G	7	19	1.35E+04
1	0.006	f	G	8	20	2.05E+04
1	0.006	f	G	9	21	3.98E+03
1	0.006	f	G	10	22	1.57E+04
1	0.006	f	G	11	23	1.56E+04
1	0.006	f	G	12	24	1.78E+04
2	0.06	m	B	1	25	1.23E+05
2	0.06	m	B	2	26	1.21E+05
2	0.06	m	B	3	27	1.32E+05
2	0.06	m	B	4	28	1.54E+05
2	0.06	m	B	5	29	6.42E+04
2	0.06	m	B	6	30	1.10E+05
2	0.06	m	B	7	31	1.10E+05
2	0.06	m	B	8	32	1.48E+05
2	0.06	m	B	9	33	1.84E+05
2	0.06	m	B	10	34	2.71E+05
2	0.06	m	B	11	35	1.39E+05
2	0.06	m	B	12	36	1.25E+05
2	0.06	f	G	1	37	1.32E+05
2	0.06	f	G	2	38	1.03E+05
2	0.06	f	G	3	39	2.16E+05
2	0.06	f	G	4	40	1.57E+05
2	0.06	f	G	5	41	1.53E+05
2	0.06	f	G	6	42	1.01E+05
2	0.06	f	G	7	43	2.23E+05
2	0.06	f	G	8	44	1.57E+05
2	0.06	f	G	9	45	1.93E+05
2	0.06	f	G	10	46	2.65E+05
2	0.06	f	G	11	47	2.51E+05
2	0.06	f	G	12	48	2.91E+05
3	0.6	m	B	1	49	6.10E+05
3	0.6	m	B	2	50	1.05E+06
3	0.6	m	B	3	51	4.21E+05
3	0.6	m	B	4	52	1.00E+06
3	0.6	m	B	5	53	1.06E+06
3	0.6	m	B	6	54	1.01E+06
3	0.6	m	B	7	55	1.45E+06
3	0.6	m	B	8	56	1.34E+06
3	0.6	m	B	9	57	1.26E+06
3	0.6	m	B	10	58	1.10E+06
3	0.6	m	B	11	59	1.33E+06
3	0.6	m	B	12	60	1.10E+06
3	0.6	f	G	1	61	1.40E+06
3	0.6	f	G	2	62	9.36E+05
3	0.6	f	G	3	63	1.63E+06
3	0.6	f	G	4	64	1.46E+06
3	0.6	f	G	5	65	9.91E+05
3	0.6	f	G	6	66	1.27E+06
3	0.6	f	G	7	67	1.17E+06
3	0.6	f	G	8	68	9.56E+05
3	0.6	f	G	9	69	1.26E+06
3	0.6	f	G	10	70	1.20E+06
3	0.6	f	G	11	71	1.11E+06
3	0.6	f	G	12	72	1.68E+06
4	6	m	B	1	73	2.40E+05
4	6	m	B	2	74	1.77E+04
4	6	m	B	3	75	2.84E+05
4	6	m	B	4	76	6.20E+06
4	6	m	B	5	77	3.88E+05
4	6	m	B	6	78	3.27E+04
4	6	m	B	7	79	2.15E+07
4	6	m	B	8	80	5.67E+06
4	6	m	B	9	81	4.31E+07
4	6	m	B	10	82	2.37E+07
4	6	m	B	11	83	1.60E+07
4	6	m	B	12	84	3.62E+07
4	6	f	G	1	85	1.79E+07
4	6	f	G	2	86	2.21E+07
4	6	f	G	3	87	1.29E+07
4	6	f	G	4	88	2.15E+07
4	6	f	G	5	89	1.21E+05
4	6	f	G	6	90	1.56E+07
4	6	f	G	7	91	2.57E+07
4	6	f	G	8	92	2.69E+07
4	6	f	G	9	93	2.29E+07
4	6	f	G	10	94	3.21E+07
4	6	f	G	11	95	1.82E+07
4	6	f	G	12	96	1.72E+07
