Well	Plate	OD	pred_conc	Fly 	DF	A	B	C
g1	2	0.006	684.17	1	1	2	3	4
g1	2	0.006	684.17	1	2	2	2	0
g1	2	0.006	684.17	1	4	2	1	0
g1	2	0.006	684.17	1	8	0	1	0
g1	2	0.006	684.17	1	16	0	0	0
g2	2	0.006	684.17	2	1	6	9	6
g2	2	0.006	684.17	2	2	5	4	2
g2	2	0.006	684.17	2	4	0	2	2
g2	2	0.006	684.17	2	8	1	2	1
g2	2	0.006	684.17	2	16	2	0	2
g3	2	0.006	684.17	3	1	5	5	8
g3	2	0.006	684.17	3	2	2	3	5
g3	2	0.006	684.17	3	4	5	0	0
g3	2	0.006	684.17	3	8	1	0	0
g3	2	0.006	684.17	3	16	1	1	0
g4	2	0.006	684.17	4	1	3	3	2
g4	2	0.006	684.17	4	2	1	1	0
g4	2	0.006	684.17	4	4	1	0	0
g4	2	0.006	684.17	4	8	0	0	0
g4	2	0.006	684.17	4	16	0	0	0
g5	2	0.006	684.17	5	1	1	2	10
g5	2	0.006	684.17	5	2	2	1	0
g5	2	0.006	684.17	5	4	0	0	2
g5	2	0.006	684.17	5	8	1	0	1
g5	2	0.006	684.17	5	16	1	0	1
g6	2	0.006	684.17	6	1	11	5	11
g6	2	0.006	684.17	6	2	2	4	6
g6	2	0.006	684.17	6	4	1	2	0
g6	2	0.006	684.17	6	8	1	2	1
g6	2	0.006	684.17	6	16	0	0	0
g7	2	0.006	684.17	7	1	9	10	14
g7	2	0.006	684.17	7	2	5	4	4
g7	2	0.006	684.17	7	4	2	2	2
g7	2	0.006	684.17	7	8	0	1	2
g7	2	0.006	684.17	7	16	0	1	0
g8	2	0.006	684.17	8	1	4	3	6
g8	2	0.006	684.17	8	2	4	0	2
g8	2	0.006	684.17	8	4	0	3	0
g8	2	0.006	684.17	8	8	2	0	0
g8	2	0.006	684.17	8	16	0	0	0
g9	2	0.006	684.17	9	1	8	6	11
g9	2	0.006	684.17	9	2	4	5	2
g9	2	0.006	684.17	9	4	2	0	3
g9	2	0.006	684.17	9	8	0	1	0
g9	2	0.006	684.17	9	16	0	1	1
g10	2	0.006	684.17	10	1	9	11	4
g10	2	0.006	684.17	10	2	2	1	0
g10	2	0.006	684.17	10	4	2	0	0
g10	2	0.006	684.17	10	8	0	0	0
g10	2	0.006	684.17	10	16	0	0	0
g11	2	0.006	684.17	11	1	11	7	5
g11	2	0.006	684.17	11	2	2	5	4
g11	2	0.006	684.17	11	4	1	2	5
g11	2	0.006	684.17	11	8	1	0	1
g11	2	0.006	684.17	11	16	0	1	0
g12	2	0.006	684.17	12	1	6	9	6
g12	2	0.006	684.17	12	2	3	0	1
g12	2	0.006	684.17	12	4	2	2	1
g12	2	0.006	684.17	12	8	0	0	0
g12	2	0.006	684.17	12	16	0	0	0
b1	2	0.06	6841.72	13	1	NA	NA	NA
b1	2	0.06	6841.72	13	2	27	22	37
b1	2	0.06	6841.72	13	4	10	4	13
b1	2	0.06	6841.72	13	8	7	2	6
b1	2	0.06	6841.72	13	16	1	2	5
b2	2	0.06	6841.72	14	1	NA	NA	NA
b2	2	0.06	6841.72	14	2	39	35	39
b2	2	0.06	6841.72	14	4	28	19	27
b2	2	0.06	6841.72	14	8	6	5	8
b2	2	0.06	6841.72	14	16	3	9	2
b3	2	0.06	6841.72	15	1	NA	NA	NA
b3	2	0.06	6841.72	15	2	39	28	32
b3	2	0.06	6841.72	15	4	22	14	9
b3	2	0.06	6841.72	15	8	11	5	1
b3	2	0.06	6841.72	15	16	6	1	1
b4	2	0.06	6841.72	16	1	NA	NA	NA
b4	2	0.06	6841.72	16	2	48	35	50
b4	2	0.06	6841.72	16	4	21	25	17
b4	2	0.06	6841.72	16	8	11	9	9
b4	2	0.06	6841.72	16	16	10	4	3
b5	2	0.06	6841.72	17	1	NA	NA	NA
b5	2	0.06	6841.72	17	2	29	32	21
b5	2	0.06	6841.72	17	4	12	9	21
b5	2	0.06	6841.72	17	8	6	6	7
b5	2	0.06	6841.72	17	16	6	1	2
b6	2	0.06	6841.72	18	1	NA	NA	NA
b6	2	0.06	6841.72	18	2	45	19	22
b6	2	0.06	6841.72	18	4	33	10	15
b6	2	0.06	6841.72	18	8	9	3	1
b6	2	0.06	6841.72	18	16	0	2	0
b7	2	0.06	6841.72	19	1	NA	NA	NA
b7	2	0.06	6841.72	19	2	30	48	37
b7	2	0.06	6841.72	19	4	15	20	23
