Fly 	OD	Plate	Location	Flux
1	0.006	2	g1	5.90E+04
2	0.006	2	g2	2.11E+04
3	0.006	2	g3	2.10E+04
4	0.006	2	g4	1.66E+04
5	0.006	2	g5	1.65E+04
6	0.006	2	g6	2.88E+04
7	0.006	2	g7	2.37E+04
8	0.006	2	g8	3.74E+04
9	0.006	2	g9	2.58E+04
10	0.006	2	g10	1.48E+04
11	0.006	2	g11	3.24E+04
12	0.006	2	g12	2.32E+04
13	0.06	2	b1	1.71E+05
14	0.06	2	b2	2.76E+05
15	0.06	2	b3	1.89E+05
16	0.06	2	b4	3.23E+05
17	0.06	2	b5	2.48E+05
18	0.06	2	b6	1.44E+05
19	0.06	2	b7	2.69E+05
20	0.06	2	b8	3.52E+05
21	0.06	2	b9	2.20E+05
22	0.06	2	b10	2.19E+05
23	0.06	2	b11	2.40E+05
24	0.06	2	b12	2.35E+05
25	0.6	1	g1	1.45E+06
26	0.6	1	g2	1.72E+06
27	0.6	1	g3	2.17E+06
28	0.6	1	g4	1.45E+06
29	0.6	1	g5	1.62E+06
30	0.6	1	g6	1.83E+06
31	0.6	1	g7	1.48E+06
32	0.6	1	g8	2.12E+06
33	0.6	1	g9	1.88E+06
34	0.6	1	g10	1.45E+06
35	0.6	1	g11	1.56E+06
36	0.6	1	g12	1.65E+06
37	6	1	b1	6.14E+06
38	6	1	b2	1.20E+07
39	6	1	b3	1.19E+07
40	6	1	b4	7.88E+06
41	6	1	b5	4.99E+06
42	6	1	b6	1.11E+07
43	6	1	b7	1.15E+07
44	6	1	b8	2.04E+07
45	6	1	b9	1.42E+07
46	6	1	b10	1.21E+07
47	6	1	b11	9.19E+06
48	6	1	b12	1.50E+06
